event_name,venue_name,venue_address,date_part,time_part,city
Medfest Eg 7th Edition,AUC Tahrir Square,"30.04304943486499, 31.236530904482507",2025-09-18,10:30,Cairo
Fouad and Mounib,Theatro Arkan,"30.020402636742446, 31.003588270211274",2025-09-18,20:00,Giza
Layali Marassi: Ragheb Allama x Amina,"Address Beach Resort, Marassi","30.966378514279903, 28.764663160486883",2025-09-18,23:00,Marsa Matrouh
Youth Summit,American University in Cairo,"30.019224469626735, 31.502954970733693",2025-09-19,15:00,Cairo
Crowd Gigs By Mohamed Helmy - Early Show,Theatro Arkan,"30.020402636742446, 31.003588270211274",2025-09-19,16:30,Giza
Crowd Gigs By Mohamed Helmy - First Show,Theatro Arkan,"30.020402636742446, 31.003588270211274",2025-09-19,20:00,Giza
Tá brón orm (Sorrow Is Upon Me),Rawabet Art Space,"30.049483336333587, 31.238033769313294",2025-09-19,20:00,Cairo
Myriam Fares at KIKI’s White,"KIKI’s Beach, Hacienda White","31.002772740274153, 28.66518344233024",2025-09-19,21:00,Marsa Matrouh
Ain Gamal x7th Medfest EG,AUC Tahrir Square,"30.04304943486499, 31.236530904482507",2025-09-19,21:30,Cairo
Layali Marassi: Tamer Ashour,"Address Beach Resort, Marassi","30.966378514279903, 28.764663160486883",2025-09-19,23:00,Marsa Matrouh
Crowd Gigs By Mohamed Helmy - Saturday Early Show,Theatro Arkan,"30.020402636742446, 31.003588270211274",2025-09-20,16:30,Giza
Crowd Gigs By Mohamed Helmy - Second Show,Theatro Arkan,"30.020402636742446, 31.003588270211274",2025-09-20,20:00,Giza
Marassi Festival,"Address Beach Resort, Marassi","30.966378514279903, 28.764663160486883",2025-09-20,23:00,Marsa Matrouh
Layali Marassi: Asala X Ahmed Saad,"Address Beach Resort, Marassi","30.966378514279903, 28.764663160486883",2025-09-20,23:00,Marsa Matrouh
Maysara Yehia X Boom Room (EP Launch concert),"Boom Room, Open Air Mall, Madinaty","30.108738710312494, 31.6265184785103",2025-09-21,21:00,Cairo
Cityscape Summit,St. Regis New Administrative Capital,"30.006395089931058, 31.723177913495356",2025-09-23,10:00,Cairo
Comedy Therapy,Cairo Jazz Club 610,"30.019941913960334, 31.00298474601855",2025-09-23,21:00,Giza
Cityscape Egypt 2025 - VIP Experience (Full Access),Egypt International Exhibition Center ,"30.0144858, 31.3842229",2025-09-24,11:00,Cairo
Cityscape Egypt 2025 - VIP Experience (Day 1),Egypt International Exhibition Center ,"30.0144858, 31.3842229",2025-09-24,12:00,Cairo
Cityscape Egypt 2025 - VIP Experience,Egypt International Exhibition Center ,"30.0144858, 31.3842229",2025-09-24,12:00,Cairo
Cityscape Egypt 2025 - VIP Experience (Day 2),Egypt International Exhibition Center ,"30.0144858, 31.3842229",2025-09-25,12:00,Cairo
20 years of Junior,Cairo Jazz Club 610,"30.019941913960334, 31.00298474601855",2025-09-25,21:00,Giza
Cityscape Egypt 2025 - VIP Experience (Day 3),Egypt International Exhibition Center ,"30.0144858, 31.3842229",2025-09-26,14:00,Cairo
Cairo Sound Vol1 Ft Tommyy x Nasser,The Greek Campus,"30.044839501411428, 31.238882713493425",2025-09-26,20:00,Cairo
Marwa Nagy - 50th anniversary of Umm Kalthoum,Theatro Arkan,"30.020402636742446, 31.003588270211274",2025-09-26,20:00,Giza
El Hekayat El Ben3shha with Tamer Ashour,El Arena,"29.959543532076435, 31.450887869711284",2025-09-26,21:00,Cairo
Tamer Hosny & Disco Misr,Galambo,"31.0034673117396, 28.6590109102205",2025-09-26,22:00,Marsa Matrouh
Cityscape Egypt 2025 - VIP Experience (Day 4),Egypt International Exhibition Center ,"30.0144858, 31.3842229",2025-09-27,12:00,Cairo
Eazees International Women’s Theater Festival,Falaki Mainstage Theater,"30.042409719866747, 31.23852597229928",2025-09-27,19:30,Cairo
Mo Amer In Egypt,New Capital,"30.013313382896914, 31.722274438528146",2025-10-01,21:00,Cairo
SheArts,Concert Hall (New Capital) - AUC Tahrir Square - Falaki Mainstage Theater,"30.042333968763398, 31.238579755550326",2025-10-02,20:00,Cairo
Lena Chamamyan x Theatro Arkan,Theatro Arkan,"30.020402636742446, 31.003588270211274",2025-10-02,20:00,Giza
Sakura Fujiwara / Lela Soto/ Tribute to Ziad Rahbani / Nagham Saleh,AUC Tahrir Square,"30.04304943486499, 31.236530904482507",2025-10-03,17:00,Cairo
Rampa On The Nile,Movenpick Aswan,"24.291348839717898, 32.873637069851746",2025-10-03,19:00,Aswan
Yalla Masra7 3 Oct,Must Theatre,"29.99686480787293, 30.96529280980705",2025-10-03,20:00,Giza
Ali Quandil in portsaid 21:00,Port Said Culture Center ,"31.270503030481542, 32.30517046547829",2025-10-03,21:00,Port Said
Mina Nader X Theatro Arkan,Theatro Arkan,"30.020402636742446, 31.003588270211274",2025-10-03,21:00,Giza
Manal Mohei Eldin & Şirin Pancaroğlu / Regina Zabos / Laura kipp ft. BalQeis,AUC Tahrir Square,"30.04304943486499, 31.236530904482507",2025-10-04,18:00,Cairo
Lily Farid X The Ayoub Sisters (Egypt/ Scotland),"Ewart Memorial Hall, AUC Tahrir Square","30.042865315718366, 31.236538345225494",2025-10-04,21:30,Cairo
Rachele Andriolo (Italy) / Sanyu (Norway),AUC Tahrir Square,"30.04304943486499, 31.236530904482507",2025-10-05,19:00,Cairo
3 Interrupted,Rawabet Art Space,"30.049483336333587, 31.238033769313294",2025-10-05,20:00,Cairo
Aida El Ayoubi,"Ewart Memorial Hall, AUC Tahrir Square","30.042865315718366, 31.236538345225494",2025-10-05,21:30,Cairo
El Masyada,El Rihany Theater,"30.05695814787614, 31.243279890052847",2025-10-06,20:00,Cairo
Omar khairat: A night at the palace,Abdeen Palace,"30.04341912249461, 31.247195542328324",2025-10-07,21:00,Cairo
Umm Kulthum Musical,The Theater,"29.962277548370007, 31.0192512936694",2025-10-10,20:00,Giza
Tablet El Sitt,Theatro Arkan,"30.020402636742446, 31.003588270211274",2025-10-10,20:00,Giza
Saleh El-Nawawy X Anfoshy (Alexandria),Al Anfoushy Theater,"31.209667834603017, 29.879711581330806",2025-10-10,20:00,Alexandria
Hence x CJC: CHAMOS,Cairo Jazz Club 610,"30.019941913960334, 31.00298474601855",2025-10-10,21:00,Giza
Saleh El-Nawawy X Boom Room,"Boom Room, Open Air Mall, Madinaty","30.108738710312494, 31.6265184785103",2025-10-13,21:00,Cairo
Oliver by Fabrica X Theatro Arkan,Theatro Arkan,"30.020402636742446, 31.003588270211274",2025-10-16,20:00,Giza
SYNC Summit,O West Orascom Development,"29.96718797603118, 30.9780625",2025-10-30,18:00,Giza
ZED PARK,"Zed Park, Elsheikh Zayed","30.0428142618184, 30.993995528239015",2025-10-31,23:00,Giza
Ibrahim Maalouf,Concert Hall - New Capital,"30.015641304795817, 31.72162606506574",2025-12-20,19:00,Cairo
